Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
Lacognata,Douglas,19,2B,FA,A,R,R,3.85,6.56,5.84,5.12,0.979,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,600,150,11,3,3,31,44,0.256,0.295,0.306,0.245,0.280,0.283,0.272,0.414,0.314,0.61,1.74,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,38.86,
Slaght,Jesse,22,P,FRIS,AAA,R,R,1.73,8.52,2.85,2.52,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,1,0,6,42,0.149,0.200,0.198,0.131,0.177,0.162,0.353,0.461,0.186,0.73,5.04,600,155,31,3,18,45,111,Fastball,0.30,0.242,0.294,0.400,0.230,0.280,0.378,Curve,0.31,0.262,0.314,0.420,0.250,0.300,0.398,Slider,0.14,0.285,0.338,0.444,0.274,0.324,0.422,Changeup,0.25,0.284,0.337,0.443,0.273,0.323,0.421,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.87,
Youssef,August,19,3B,MIDL,AA,L,R,1.98,8.13,3.26,2.19,0.995,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,120,17,5,0,93,98,0.194,0.299,0.233,0.207,0.316,0.259,0.507,0.366,0.127,0.73,1.43,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.88,
Dinh,Beau,19,SS,FA,A,R,R,3.97,6.89,6.62,5.77,0.989,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,121,16,0,0,38,82,0.209,0.259,0.244,0.194,0.240,0.214,0.292,0.312,0.397,0.73,1.13,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.32,
Garnett,Dylan,29,C,EDMO,AAA,R,R,4.07,6.54,5.90,5.52,0.977,0.00,1.00,0.06,1.00,0.03,0.00,0.00,0.00,0.00,600,165,28,3,18,64,95,0.278,0.349,0.429,0.271,0.339,0.414,0.347,0.400,0.253,0.57,1.10,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.03,
Larmore,Anthony,30,P,WISC,AAA,R,L,2.32,8.63,2.06,2.90,0.982,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,0,1,4,40,0.168,0.202,0.225,0.152,0.182,0.195,0.304,0.511,0.184,0.56,4.62,600,174,32,4,19,51,98,Fastball,0.26,0.261,0.315,0.415,0.272,0.329,0.437,Curve,0.20,0.281,0.335,0.436,0.292,0.349,0.458,Slider,0.22,0.293,0.347,0.447,0.304,0.361,0.469,Changeup,0.32,0.300,0.354,0.455,0.311,0.368,0.476,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,65.04,
Davis,Ro,23,RF,MIDL,AA,L,L,6.54,3.74,5.75,7.86,0.999,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,600,185,44,2,36,72,101,0.301,0.373,0.556,0.316,0.393,0.586,0.451,0.358,0.191,0.47,1.56,84,30,8,1,5,30,6,Fastball,1.00,0.357,0.525,0.650,0.367,0.538,0.670,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Pulsifer,Elliott,21,CF,FA,A,R,R,3.68,7.60,3.80,4.50,0.964,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,600,154,26,4,2,38,24,0.264,0.309,0.338,0.251,0.293,0.313,0.360,0.339,0.301,0.47,2.52,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.542,0.677,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.25,
Dalton,Christopher,20,RF,FA,A,R,R,3.69,7.02,3.76,4.29,0.981,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,139,23,3,5,44,62,0.240,0.295,0.321,0.223,0.273,0.286,0.313,0.544,0.143,0.66,1.31,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.538,0.671,0.357,0.524,0.649,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,38.76,
Desilva,Ed,22,P,WISC,A,R,R,2.54,8.99,4.79,2.58,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,1,1,4,32,0.137,0.172,0.223,0.123,0.155,0.197,0.320,0.384,0.295,0.49,8.00,600,174,53,6,31,52,133,Fastball,0.32,0.267,0.325,0.533,0.258,0.314,0.516,Curve,0.15,0.289,0.348,0.556,0.281,0.337,0.539,Slider,0.24,0.296,0.355,0.562,0.288,0.344,0.546,Changeup,0.14,0.318,0.376,0.584,0.309,0.365,0.567,Sinker,0.15,0.328,0.386,0.594,0.319,0.375,0.577,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,57.24,
Salazar,Al,18,P,OKC,A,R,R,2.21,8.55,2.21,2.05,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,0,1,5,31,0.179,0.220,0.247,0.161,0.199,0.213,0.496,0.270,0.234,0.65,5.12,600,175,42,5,24,62,109,Curve,0.45,0.281,0.349,0.492,0.269,0.334,0.469,Changeup,0.45,0.301,0.369,0.512,0.289,0.354,0.489,Split Finger,0.10,0.346,0.414,0.557,0.334,0.399,0.534,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.88,
Blankenship,Sidney,21,P,FA,A,R,R,2.92,8.31,2.47,3.37,0.983,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,0,4,40,0.136,0.171,0.201,0.124,0.156,0.179,0.318,0.371,0.311,0.73,4.85,600,174,53,6,31,52,129,Fastball,0.49,0.280,0.339,0.548,0.269,0.325,0.526,Curve,0.23,0.303,0.362,0.571,0.292,0.348,0.549,Changeup,0.29,0.312,0.371,0.580,0.301,0.357,0.558,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.24,
France,Oscar,29,P,OMA,AAA,R,R,2.89,8.54,2.95,2.88,0.976,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,0,1,3,30,0.169,0.196,0.248,0.151,0.173,0.212,0.405,0.565,0.030,0.59,6.74,600,156,43,5,25,49,87,Fastball,0.27,0.239,0.297,0.459,0.225,0.279,0.432,Curve,0.28,0.259,0.317,0.479,0.245,0.299,0.452,Slider,0.28,0.271,0.329,0.491,0.257,0.312,0.464,Sinker,0.05,0.348,0.406,0.569,0.335,0.389,0.541,Forkball,0.11,0.312,0.370,0.532,0.298,0.352,0.505,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.76,
Nishiyama,Russell,23,P,FA,A,R,R,1.29,8.50,2.92,3.10,0.982,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,0,1,4,32,0.168,0.202,0.245,0.152,0.182,0.215,0.256,0.561,0.183,0.68,8.00,600,193,40,4,23,72,154,Fastball,0.29,0.308,0.383,0.516,0.290,0.360,0.481,Curve,0.21,0.328,0.403,0.537,0.311,0.381,0.501,Slider,0.30,0.338,0.412,0.546,0.320,0.390,0.511,Changeup,0.20,0.356,0.430,0.564,0.338,0.408,0.529,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,60.00,
Deforge,Fletcher,26,LF,SF,AA,L,L,4.67,7.20,3.51,5.26,0.998,0.00,0.00,0.00,0.00,0.00,0.92,1.00,1.00,1.00,600,163,26,7,6,35,72,0.263,0.302,0.353,0.278,0.321,0.384,0.301,0.492,0.207,0.66,1.28,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.647,0.369,0.540,0.673,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.69,
Lebsack,Manuel,22,P,PORT,A,R,R,3.62,8.88,2.50,2.20,0.982,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,2,0,0,4,26,0.178,0.212,0.206,0.162,0.192,0.174,0.334,0.478,0.189,0.70,6.33,600,153,43,5,25,94,178,Fastball,0.43,0.248,0.351,0.466,0.231,0.330,0.433,Curve,0.29,0.269,0.372,0.487,0.252,0.351,0.454,Sinker,0.29,0.281,0.384,0.499,0.264,0.363,0.466,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,51.97,
Wagner,Dan,18,P,ALTO,A,R,R,1.33,9.01,4.80,2.26,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,2,0,0,4,36,0.138,0.174,0.166,0.122,0.153,0.134,0.220,0.379,0.401,0.73,5.86,600,168,56,6,32,47,83,Fastball,0.29,0.268,0.322,0.549,0.256,0.307,0.525,Curve,0.33,0.288,0.342,0.569,0.276,0.327,0.545,Changeup,0.37,0.300,0.354,0.581,0.288,0.339,0.557,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.09,
Brittain,Darryl,26,1B,LOUI,ML,S,R,2.21,1.99,1.00,0.74,0.997,0.00,0.24,1.00,0.00,0.06,0.00,1.00,0.47,0.37,600,162,27,1,47,93,116,0.268,0.366,0.550,0.271,0.370,0.553,0.542,0.348,0.110,0.44,1.41,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.671,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,53.44,
Smolik,Jacob,22,P,MAHO,AA,L,L,1.06,8.82,2.49,2.73,0.989,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,3,26,0.125,0.149,0.210,0.135,0.162,0.230,0.301,0.451,0.248,0.54,5.31,600,157,28,3,16,45,169,Fastball,0.32,0.231,0.281,0.362,0.247,0.300,0.393,Curve,0.25,0.252,0.301,0.383,0.267,0.321,0.413,Slider,0.21,0.265,0.315,0.397,0.281,0.334,0.427,Changeup,0.22,0.276,0.326,0.407,0.291,0.345,0.438,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,52.48,
Kasserman,Salomon,18,P,RICH,A,R,R,1.22,8.37,3.38,2.66,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,0,1,3,42,0.168,0.195,0.246,0.152,0.174,0.214,0.329,0.295,0.376,0.62,4.95,600,174,53,6,31,52,131,Fastball,0.30,0.276,0.336,0.547,0.258,0.312,0.511,Curve,0.14,0.299,0.359,0.570,0.281,0.336,0.534,Slider,0.28,0.304,0.364,0.575,0.286,0.341,0.539,Changeup,0.28,0.316,0.376,0.587,0.298,0.352,0.551,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,40.18,
Flis,John,24,P,WISC,AAA,L,L,1.68,9.04,2.91,2.11,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,1,0,5,22,0.162,0.199,0.203,0.178,0.220,0.237,0.292,0.583,0.125,0.73,6.59,600,154,33,4,19,52,166,Fastball,0.27,0.232,0.290,0.389,0.242,0.303,0.409,Slider,0.25,0.252,0.310,0.409,0.262,0.323,0.429,Changeup,0.48,0.262,0.320,0.419,0.271,0.333,0.438,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.92,
Loper,Jonathan,22,P,MIDL,AA,R,R,1.26,8.81,2.23,3.99,0.976,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,3,31,0.138,0.165,0.235,0.122,0.145,0.205,0.230,0.488,0.283,0.69,8.00,600,163,49,5,29,64,130,Fastball,0.30,0.254,0.326,0.503,0.243,0.312,0.481,Curve,0.19,0.275,0.347,0.524,0.264,0.333,0.502,Slider,0.26,0.284,0.356,0.533,0.273,0.342,0.511,Changeup,0.25,0.297,0.369,0.546,0.286,0.355,0.524,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,55.64,
McCranie,Ed,29,P,WISC,ML,R,R,3.22,9.70,4.37,3.04,0.984,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,4,1,1,4,36,0.155,0.190,0.251,0.145,0.176,0.229,0.489,0.380,0.131,0.71,8.00,600,152,27,3,16,47,165,Fastball,0.45,0.244,0.300,0.384,0.231,0.284,0.358,Curve,0.32,0.265,0.321,0.405,0.252,0.304,0.378,Changeup,0.23,0.281,0.337,0.420,0.267,0.320,0.394,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,64.73,
Ripperger,Kelly,27,P,ELP,AAA,R,R,3.13,8.52,2.15,3.01,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,1,0,6,33,0.136,0.187,0.192,0.124,0.172,0.168,0.330,0.440,0.230,0.66,4.31,600,192,24,3,14,30,110,Fastball,0.35,0.309,0.343,0.435,0.296,0.326,0.408,Changeup,0.41,0.329,0.363,0.455,0.316,0.346,0.428,Forkball,0.24,0.348,0.382,0.473,0.335,0.365,0.447,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,63.27,
Peterson,Donovan,21,P,FA,A,R,R,2.13,8.42,3.29,3.29,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,0,1,5,41,0.140,0.184,0.219,0.120,0.159,0.181,0.277,0.530,0.192,0.67,7.46,600,162,48,5,28,59,134,Fastball,0.32,0.256,0.323,0.499,0.241,0.304,0.469,Curve,0.13,0.280,0.348,0.523,0.265,0.329,0.493,Slider,0.26,0.285,0.352,0.527,0.270,0.333,0.498,Changeup,0.29,0.295,0.363,0.538,0.280,0.344,0.508,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.63,
McNamara,Wilburn,23,P,FA,A,R,R,3.84,8.34,3.05,2.97,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,1,0,3,23,0.146,0.173,0.213,0.134,0.157,0.187,0.434,0.410,0.156,0.44,6.11,600,165,55,6,32,48,110,Fastball,0.38,0.268,0.324,0.545,0.255,0.307,0.519,Changeup,0.62,0.289,0.345,0.567,0.276,0.328,0.540,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.00,
O'Neal,Walt,24,P,MAHO,AAA,L,L,2.36,8.76,3.73,2.29,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,0,3,45,0.135,0.159,0.180,0.145,0.172,0.200,0.235,0.509,0.256,0.58,7.02,600,163,33,4,19,52,95,Fastball,0.24,0.236,0.293,0.393,0.248,0.308,0.416,Curve,0.27,0.256,0.313,0.413,0.268,0.328,0.436,Slider,0.16,0.275,0.331,0.431,0.286,0.346,0.455,Changeup,0.20,0.281,0.338,0.438,0.293,0.353,0.461,Forkball,0.13,0.304,0.360,0.460,0.315,0.375,0.484,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.20,
Klopf,Rufus,22,P,FA,A,R,L,1.63,9.28,4.08,2.59,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,1,4,35,0.150,0.186,0.241,0.130,0.160,0.199,0.314,0.523,0.164,0.59,4.04,600,165,55,6,32,48,119,Fastball,0.28,0.241,0.293,0.506,0.252,0.307,0.528,Curve,0.20,0.262,0.314,0.527,0.273,0.328,0.549,Slider,0.23,0.273,0.325,0.538,0.284,0.339,0.560,Changeup,0.21,0.286,0.338,0.551,0.297,0.352,0.573,Sinker,0.08,0.336,0.388,0.601,0.347,0.402,0.623,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.25,
Borjon,Morris,21,P,AUCK,AA,R,R,3.85,8.88,2.52,3.33,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,0,0,5,39,0.147,0.190,0.184,0.133,0.172,0.156,0.302,0.397,0.300,0.73,6.12,600,140,35,4,20,77,105,Fastball,0.58,0.232,0.321,0.411,0.217,0.303,0.382,Curve,0.42,0.252,0.342,0.431,0.238,0.323,0.402,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.55,
Caudle,Fernando,34,1B,ELP,AA,R,R,2.76,1.66,1.67,1.51,0.971,0.00,0.00,1.00,0.00,0.87,1.00,0.00,1.00,0.00,600,163,40,3,4,59,49,0.278,0.344,0.380,0.265,0.328,0.355,0.264,0.559,0.177,0.57,1.00,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.671,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.10,
Neel,Andre,29,SS,FRIS,AAA,R,R,3.41,2.01,3.29,4.33,0.982,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,600,173,39,1,11,50,78,0.295,0.352,0.426,0.280,0.333,0.397,0.361,0.441,0.198,0.59,2.65,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.69,
Bergdoll,George,22,P,OMA,AA,R,R,3.83,9.20,4.33,3.25,0.979,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,1,1,3,41,0.165,0.191,0.241,0.155,0.178,0.219,0.231,0.576,0.192,0.53,4.91,600,157,24,3,14,44,182,Fastball,0.32,0.247,0.299,0.369,0.234,0.282,0.344,Curve,0.18,0.268,0.321,0.391,0.255,0.304,0.365,Slider,0.30,0.276,0.328,0.399,0.263,0.312,0.373,Changeup,0.20,0.294,0.346,0.417,0.281,0.330,0.391,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,63.43,
Dockery,Jacob,21,P,LAKE,A,R,R,1.57,8.94,2.60,3.83,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,4,0,1,5,36,0.177,0.219,0.255,0.163,0.200,0.225,0.325,0.447,0.228,0.62,3.59,600,168,56,6,32,47,129,Fastball,0.44,0.271,0.325,0.551,0.260,0.311,0.530,Slider,0.23,0.293,0.347,0.573,0.282,0.333,0.552,Changeup,0.33,0.301,0.355,0.581,0.291,0.342,0.560,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.99,
Hershenson,Grant,23,P,FA,A,L,L,3.61,8.91,4.74,3.36,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,1,0,3,36,0.144,0.168,0.189,0.156,0.182,0.211,0.225,0.529,0.247,0.58,6.30,600,173,35,4,20,51,106,Fastball,0.26,0.257,0.310,0.420,0.274,0.333,0.454,Curve,0.23,0.277,0.331,0.440,0.294,0.353,0.475,Slider,0.20,0.291,0.344,0.453,0.308,0.367,0.488,Changeup,0.31,0.296,0.350,0.459,0.314,0.372,0.494,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,55.85,
Ryzinski,Vernon,19,CF,LAKE,AA,L,L,5.39,4.22,6.24,8.00,0.995,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,600,162,48,3,21,85,129,0.266,0.355,0.456,0.275,0.367,0.475,0.522,0.343,0.135,0.41,1.18,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.647,0.369,0.539,0.672,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.35,
Ward,Norris,20,SS,FA,A,R,R,3.53,7.62,6.56,4.75,0.998,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,147,25,1,3,19,56,0.251,0.276,0.317,0.237,0.258,0.289,0.556,0.338,0.106,0.65,2.35,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.541,0.674,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,53.52,
Stoneham,Josh,19,RF,FA,A,L,R,4.29,6.22,3.95,4.30,0.993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,138,29,4,24,50,91,0.224,0.281,0.399,0.235,0.295,0.421,0.333,0.597,0.070,0.52,1.47,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.25,
Black,Jason,18,P,HILL,A,R,R,1.53,8.89,4.84,3.89,0.978,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,2,0,1,5,40,0.155,0.197,0.209,0.145,0.184,0.191,0.318,0.469,0.213,0.68,6.15,600,162,37,4,21,45,85,Fastball,0.49,0.262,0.315,0.450,0.250,0.299,0.425,Curve,0.24,0.285,0.337,0.473,0.273,0.321,0.448,Slider,0.27,0.295,0.348,0.483,0.283,0.332,0.458,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,34.22,
